Time, Position, Rotation
11:03:18:137,(1.710. 0.896. -0.285),(-0.019. 0.480. 0.041. 0.876)
11:03:19:141,(1.360. 1.043. -0.098),(0.025. -0.123. 0.074. 0.989)
11:03:20:146,(1.023. 1.081. 0.078),(-0.007. -0.506. 0.055. 0.861)
11:03:21:15,(0.639. 1.080. 0.199),(-0.044. -0.645. 0.037. 0.762)
11:03:22:155,(0.183. 1.073. 0.193),(-0.022. -0.834. 0.046. 0.550)
11:03:23:161,(-0.018. 1.075. -0.160),(0.083. 0.994. -0.059. -0.038)
11:03:24:166,(0.329. 1.083. -0.420),(0.110. 0.842. -0.013. 0.528)
11:03:25:172,(0.745. 1.076. -0.128),(0.069. 0.461. -0.001. 0.885)
11:03:26:178,(1.046. 1.081. 0.178),(0.034. 0.405. -0.020. 0.913)
11:03:27:184,(1.358. 1.081. -0.030),(-0.022. 0.866. -0.055. 0.496)
11:03:28:187,(0.919. 1.107. -0.188),(-0.021. 0.889. -0.024. -0.456)
11:03:29:193,(0.498. 1.101. -0.064),(0.034. -0.685. 0.014. 0.727)
11:03:30:198,(0.274. 1.102. 0.327),(0.075. -0.148. -0.060. 0.984)
11:03:31:204,(0.665. 1.095. 0.551),(0.014. 0.533. -0.053. 0.844)
11:03:32:209,(1.054. 1.100. 0.342),(-0.017. 0.908. -0.071. 0.412)
11:03:33:214,(0.905. 1.107. -0.048),(-0.069. 0.936. -0.052. -0.340)
